;ID;LOCATION;NUMBER
33;4M4G0D9YPL;7RM2_2XX377_6JI;4854
34;W5LHQ9AQ7U;XVYX_MB_EW3FWK;1923
35;4A1PPE064G;GJHXPQ_JT_Q128;3555
36;A4ZBOWEWEX;MYBRGJ_X3UYP;3049
37;VUURLMJYV5;XVYX_MB_EW3FWK;666
38;M8QSCIRA7Z;ZCJH_YJ5;4449
39;VGBW5NRTXC;MYBRGJ_X3UYP;3693
40;X91TN1OLYE;GJHXPQ_JT_Q128;750
41;SECG3CH5K6;UC1X4_AKRI3_INQ3Y2;832
42;WNBHMOLXN8;GJHXPQ_JT_Q128;4313
43;NOASCD1KP7;MYBRGJ_X3UYP;1573
44;B5P2Z2MOR9;QYE547_8J4_5QXMDY;4343
45;KUW6DERWJD;QYE547_8J4_5QXMDY;1651
46;2AQA6WPIHX;MYBRGJ_X3UYP;618
47;292ZNZP8N6;0XXE_RHN;212
48;OXVCJJE2WD;0XXE_RHN;1449
49;Y53EY30HGZ;9ZWB4_ZKZOTH_L205AN;4605
50;7BFG8IILE3;GJHXPQ_JT_Q128;1325
51;9JXXH031E2;MYBRGJ_X3UYP;1339
52;J2U596CY2N;9ZWB4_ZKZOTH_L205AN;3901
53;6W6C2K8G42;XVYX_MB_EW3FWK;0
54;7HQXT2GIHK;MYBRGJ_X3UYP;2089
55;0KFR1M8FDW;UC1X4_AKRI3_INQ3Y2;4040
56;1GR5HDKFU3;GJHXPQ_JT_Q128;1772
57;YNHNS9XQ0F;UC1X4_AKRI3_INQ3Y2;1306
58;1CILC6CII3;UC1X4_AKRI3_INQ3Y2;4533
59;6Q73ILZ3OP;XVYX_MB_EW3FWK;2121
60;YU05FM2QJH;7RM2_2XX377_6JI;1719
61;UH3G378SWJ;7RM2_2XX377_6JI;4724
62;ZDKGH6E5J1;MYBRGJ_X3UYP;1694
63;D1N3KUF5VW;9ZWB4_ZKZOTH_L205AN;4148
64;7WCIGF1RCC;0XXE_RHN;2569
65;EEGGXFKK4W;358Y_H8JB_QSDG;4685
66;FK3JCIWVFP;0XXE_RHN;319
67;OHKTRHSHJS;GJHXPQ_JT_Q128;64
68;KJCW2PHV0P;XVYX_MB_EW3FWK;2639
69;SU8M9L2JP0;UC1X4_AKRI3_INQ3Y2;3033
70;43HJN7IXT3;XVYX_MB_EW3FWK;160
71;73OQTFAUY3;UC1X4_AKRI3_INQ3Y2;950
72;1NAG3VKAUF;ZCJH_YJ5;2408
73;MS01J2VAID;358Y_H8JB_QSDG;321
74;FWUS8W6YCJ;GJHXPQ_JT_Q128;1186
75;NZ62H40RE5;9ZWB4_ZKZOTH_L205AN;586
76;ZVJN32DLHR;0XXE_RHN;2049
77;YAS7OA3RIO;ZCJH_YJ5;2922
78;7UQGC62VG8;XVYX_MB_EW3FWK;3369
79;UZQ8YE9APG;GJHXPQ_JT_Q128;2141
80;2IFSACZ0VJ;UC1X4_AKRI3_INQ3Y2;1780
81;PS6IR5H4M4;XVYX_MB_EW3FWK;3246
82;JAT3FTYMVR;UC1X4_AKRI3_INQ3Y2;4325
83;EFOYNWXE4O;7RM2_2XX377_6JI;729
84;FG8FY9UT5U;7RM2_2XX377_6JI;949
85;UE6MMSWB3L;7RM2_2XX377_6JI;4992
86;GKOGB1JJML;UC1X4_AKRI3_INQ3Y2;3806
87;UY9MHBICO6;UC1X4_AKRI3_INQ3Y2;399
88;OMVZQ3LPW5;7RM2_2XX377_6JI;730
89;9GLMS0TF5S;MYBRGJ_X3UYP;3495
90;0MDC609BFX;GJHXPQ_JT_Q128;2557
91;ZJOG46V45P;GJHXPQ_JT_Q128;3271
92;D9FUFWHIWT;9ZWB4_ZKZOTH_L205AN;2730
93;4998MTSZ0Z;9ZWB4_ZKZOTH_L205AN;102
94;Z0K2SEC6CO;9ZWB4_ZKZOTH_L205AN;1338
95;IBXZ9CRF7V;QYE547_8J4_5QXMDY;2398
96;M9KNP2X85J;9ZWB4_ZKZOTH_L205AN;2973
97;YSRRJ14SWI;QYE547_8J4_5QXMDY;4315
98;LFHM0ZISIJ;358Y_H8JB_QSDG;1791
99;C9SUYALPSI;358Y_H8JB_QSDG;2473
100;ZPIE7UL2GY;XVYX_MB_EW3FWK;630
101;84868IODC1;GJHXPQ_JT_Q128;3111
102;8FNXN5LOUZ;UC1X4_AKRI3_INQ3Y2;1331
103;8B1FRH3PHV;MYBRGJ_X3UYP;3364
104;HRYZNFBCRR;358Y_H8JB_QSDG;3199
105;REDKY35EJP;MYBRGJ_X3UYP;1355
106;W67XAYGA02;XVYX_MB_EW3FWK;2852
107;YSHHUPO6XJ;XVYX_MB_EW3FWK;1087
108;YQC3C9W0X6;9ZWB4_ZKZOTH_L205AN;645
109;TZZLZI5FLO;7RM2_2XX377_6JI;4110
110;2ENB4R6GZ3;XVYX_MB_EW3FWK;4513
111;FSTFZGV3TA;ZCJH_YJ5;3220
112;075NLRXV6Z;9ZWB4_ZKZOTH_L205AN;2346
113;AAO31QGDHQ;ZCJH_YJ5;542
114;R9GAO88ULO;UC1X4_AKRI3_INQ3Y2;4384
115;OAK491W2WK;GJHXPQ_JT_Q128;3448
116;S7DDUNSEBJ;358Y_H8JB_QSDG;3659
117;CJM02XHIN8;0XXE_RHN;1048
118;AOKOKO589C;0XXE_RHN;1765
119;20JWVIOILR;9ZWB4_ZKZOTH_L205AN;2719
120;LDR68K7D84;QYE547_8J4_5QXMDY;2156
121;5A5BAUBLO0;UC1X4_AKRI3_INQ3Y2;3989
122;CM9ZWSNRBA;UC1X4_AKRI3_INQ3Y2;2183
123;GHAR3U2SH1;GJHXPQ_JT_Q128;2210
124;XKDSS8N070;0XXE_RHN;566
125;SJ0DK9HYR4;358Y_H8JB_QSDG;3833
126;SHOSKJUG82;ZCJH_YJ5;4236
127;YJ3CBGUIL6;MYBRGJ_X3UYP;578
128;WRJD6DZK5Q;358Y_H8JB_QSDG;3090
129;K2IS0BCS6J;XVYX_MB_EW3FWK;60
130;56340FX9UP;0XXE_RHN;826
131;VLIY22E73E;9ZWB4_ZKZOTH_L205AN;1112
132;TG3C4PZ3ZV;ZCJH_YJ5;4541
133;VTNC7MHA60;ZCJH_YJ5;1975
134;R46AGWVGRP;XVYX_MB_EW3FWK;1675
135;YK6R3XHZP7;QYE547_8J4_5QXMDY;2050
136;ECZ91ODVC1;ZCJH_YJ5;1867
137;LL86DY2CZQ;UC1X4_AKRI3_INQ3Y2;2838
138;LI39XUQ5FQ;GJHXPQ_JT_Q128;2642
139;68ZYZBBGB9;358Y_H8JB_QSDG;729
140;6WX2TU0TPA;0XXE_RHN;4026
141;1VYZ9MDUZS;XVYX_MB_EW3FWK;1752
142;5BO3MDTHN5;9ZWB4_ZKZOTH_L205AN;1731
143;MYAF1N67VT;UC1X4_AKRI3_INQ3Y2;620
144;FTBOENQC1X;MYBRGJ_X3UYP;1005
145;AFY7FDI6KU;XVYX_MB_EW3FWK;3559
146;E0J4Y1X06O;9ZWB4_ZKZOTH_L205AN;870
147;X8S01QIHTH;UC1X4_AKRI3_INQ3Y2;1718
148;3ANX1FR5B9;XVYX_MB_EW3FWK;3435
149;WHJS7GN5PW;XVYX_MB_EW3FWK;1964
150;ODDE049RKX;UC1X4_AKRI3_INQ3Y2;3159
151;MO8MWVYMJ4;QYE547_8J4_5QXMDY;3243
152;AO0JAUIGIP;XVYX_MB_EW3FWK;4730
153;P690BJP94C;7RM2_2XX377_6JI;4087
154;18RNM7YKKQ;UC1X4_AKRI3_INQ3Y2;3727
155;GVB99BNXHE;358Y_H8JB_QSDG;2255
156;LGKCGJ8UVF;UC1X4_AKRI3_INQ3Y2;924
157;QQRRG9PL7H;GJHXPQ_JT_Q128;2756
158;QFGAWQW6J2;0XXE_RHN;3454
159;T0O7Z6LYBS;ZCJH_YJ5;1785
160;G47FIPT7F1;7RM2_2XX377_6JI;1136
161;7A03ITVFTH;ZCJH_YJ5;772
162;D8JGXK4JC3;358Y_H8JB_QSDG;3846
163;ZCAS2X5KGV;XVYX_MB_EW3FWK;4353
164;CY5XB1UOPP;XVYX_MB_EW3FWK;4924
165;7R6XIGONOB;9ZWB4_ZKZOTH_L205AN;2455
166;FR7QKR0FNQ;QYE547_8J4_5QXMDY;4452
167;61ZNFQAUBL;UC1X4_AKRI3_INQ3Y2;3299
168;WG34MPOS03;9ZWB4_ZKZOTH_L205AN;2264
169;2VGH3CARTH;0XXE_RHN;1043
170;GYH537FT7W;UC1X4_AKRI3_INQ3Y2;1883
171;5LK7ZYHYBD;XVYX_MB_EW3FWK;936
172;E719PMKWHA;7RM2_2XX377_6JI;2268
173;OXIYH9PQFW;7RM2_2XX377_6JI;3589
174;8YYS4LJPRF;UC1X4_AKRI3_INQ3Y2;2461
175;G5B3VXBS46;0XXE_RHN;4457
176;I3UECXFSBT;9ZWB4_ZKZOTH_L205AN;1038
177;1VZQD6686J;0XXE_RHN;973
178;XXX68OIZT9;UC1X4_AKRI3_INQ3Y2;3771
179;NCVKHQD2VJ;QYE547_8J4_5QXMDY;3404
180;W7715JU4LO;7RM2_2XX377_6JI;3478
181;R1HB1P1RP2;UC1X4_AKRI3_INQ3Y2;4529
182;WXEEH2J6GD;9ZWB4_ZKZOTH_L205AN;4177
183;4FKL1HCOMM;ZCJH_YJ5;2067
184;CJVVBJEQ8H;MYBRGJ_X3UYP;3106
185;WS7U2P010L;GJHXPQ_JT_Q128;4644
186;6W332QZIVZ;7RM2_2XX377_6JI;1763
187;QSOHIKXSGU;GJHXPQ_JT_Q128;1372
188;G4SQ294430;7RM2_2XX377_6JI;4346
189;AL820FGJ47;358Y_H8JB_QSDG;3548
190;1FHB85NFFU;ZCJH_YJ5;2625
191;1ZI7RO8TRN;7RM2_2XX377_6JI;3453
192;N337KSBRTF;0XXE_RHN;4854
193;0FDPD18KLH;0XXE_RHN;3664
194;FD76NCB0V7;7RM2_2XX377_6JI;1935
195;SJ6F4BQW8H;7RM2_2XX377_6JI;2414
196;2C90W81YO8;9ZWB4_ZKZOTH_L205AN;4407
197;GTP48G2XZO;QYE547_8J4_5QXMDY;2088
198;58NOHRIB3W;MYBRGJ_X3UYP;855
199;KPK8UB48US;GJHXPQ_JT_Q128;3301
200;H9ULYFSWC0;QYE547_8J4_5QXMDY;4027
201;I8YICV3G2G;7RM2_2XX377_6JI;1538
202;VKL4U9KK61;GJHXPQ_JT_Q128;1991
203;X7U1G893NJ;QYE547_8J4_5QXMDY;2198
204;MUQP9MV34N;7RM2_2XX377_6JI;4935
205;SOQ0CESNQ3;ZCJH_YJ5;165
206;NYD2V8GODU;0XXE_RHN;1993
207;E33JFYR26O;QYE547_8J4_5QXMDY;440
208;G7Z84H187T;QYE547_8J4_5QXMDY;4973
209;NEJ6OGSWCZ;0XXE_RHN;1508
210;PX3WX6ML21;7RM2_2XX377_6JI;271
211;K7T5Q4DQXV;7RM2_2XX377_6JI;2885
212;CDBQFTQB8V;ZCJH_YJ5;4614
213;NYRVJVREBR;XVYX_MB_EW3FWK;4645
214;KTCBJRWJ23;358Y_H8JB_QSDG;4795
215;RO429UDQP9;0XXE_RHN;423
216;6LVRO84GNA;MYBRGJ_X3UYP;299
217;GUC0TEZPGQ;9ZWB4_ZKZOTH_L205AN;2364
218;2VMWASUHSI;358Y_H8JB_QSDG;111
219;1V990DGJ3E;7RM2_2XX377_6JI;1759
220;RZWLPNK164;XVYX_MB_EW3FWK;1798
221;J520LLG5N3;358Y_H8JB_QSDG;890
222;CEXBY8V4JG;0XXE_RHN;866
223;EUDDNQACE6;MYBRGJ_X3UYP;980
224;V1HAJJABF4;358Y_H8JB_QSDG;726
225;YUHY5TH50Q;QYE547_8J4_5QXMDY;2601
226;13ROYYL3UQ;7RM2_2XX377_6JI;3507
227;UZSD5BLHIY;7RM2_2XX377_6JI;3019
228;TIJWNE6CV9;MYBRGJ_X3UYP;1191
229;SQOXOQFRQY;358Y_H8JB_QSDG;1471
230;Q9PZ3DWVTS;XVYX_MB_EW3FWK;3282
231;0237A7RV71;7RM2_2XX377_6JI;2327
232;549HUNS3YL;0XXE_RHN;3958
233;YXZOFYX3H4;QYE547_8J4_5QXMDY;4967
234;XQ0QYWSCQZ;QYE547_8J4_5QXMDY;2525
235;6IF656DL8P;QYE547_8J4_5QXMDY;2106
236;0KRFRQJAAI;0XXE_RHN;3487
237;AQ32CI7R3W;358Y_H8JB_QSDG;2419
238;8D5BTWK7Z8;UC1X4_AKRI3_INQ3Y2;4378
239;OMJRLDGUG6;0XXE_RHN;3024
240;RL3QA8DYFM;MYBRGJ_X3UYP;4302
241;MWNU84UWP0;9ZWB4_ZKZOTH_L205AN;3296
242;NRFJ7FZNYS;QYE547_8J4_5QXMDY;4563
243;H1WVU5O95K;ZCJH_YJ5;2629
244;96OF0QLVAX;7RM2_2XX377_6JI;1994
245;HST97DBFKL;QYE547_8J4_5QXMDY;3569
246;VVD3PNI08Z;0XXE_RHN;548
247;283YI9GIO6;7RM2_2XX377_6JI;4393
248;DWLRU2AX3K;MYBRGJ_X3UYP;4372
249;2Y52FMOVZX;XVYX_MB_EW3FWK;2327
250;J2Y5U31KQP;XVYX_MB_EW3FWK;2700
251;ZAXM3Q85GC;GJHXPQ_JT_Q128;3382
252;E257514K8W;ZCJH_YJ5;2148
253;4NKRONXEXQ;358Y_H8JB_QSDG;1202
254;4BPGVQ40GN;9ZWB4_ZKZOTH_L205AN;1496
255;WMVZ8UZZME;0XXE_RHN;3681
256;9XTRRDSPFN;9ZWB4_ZKZOTH_L205AN;1908
257;BAJ8KYQC4B;0XXE_RHN;4898
258;X5LRQCD0DA;XVYX_MB_EW3FWK;2024
259;UHJDQ6AFXP;7RM2_2XX377_6JI;3661
260;5ZGTFK67PJ;ZCJH_YJ5;3823
261;YUOAR5FMRU;GJHXPQ_JT_Q128;3822
262;W222CDJTFX;UC1X4_AKRI3_INQ3Y2;3113
263;ZULKWYFAKP;GJHXPQ_JT_Q128;3434
264;E8FYWZARLJ;GJHXPQ_JT_Q128;1202
265;MCYMO9L5Z4;QYE547_8J4_5QXMDY;2943
266;T3EBK2X97C;7RM2_2XX377_6JI;4563
267;5Y5R47DPAE;QYE547_8J4_5QXMDY;3219
268;Z7GM6AYVEA;QYE547_8J4_5QXMDY;1629
269;AXSIA4SSME;7RM2_2XX377_6JI;3908
270;TP60K2KL7K;GJHXPQ_JT_Q128;2489
271;361UZ3IUC2;UC1X4_AKRI3_INQ3Y2;4796
272;SFKSUFI7AZ;GJHXPQ_JT_Q128;480
273;0FL9ENAVZL;MYBRGJ_X3UYP;324
274;YTTXWX8X2M;MYBRGJ_X3UYP;2514
275;R3P3V987ZC;ZCJH_YJ5;3420
276;2M25L3353B;XVYX_MB_EW3FWK;4029
277;8D6OCEZS6M;ZCJH_YJ5;1200
278;ZAKO82PQUV;0XXE_RHN;4294
279;FRSK0HY8CZ;GJHXPQ_JT_Q128;3783
280;U7QE2PP1EG;GJHXPQ_JT_Q128;3042
281;FFT9FWOBSR;XVYX_MB_EW3FWK;4642
282;XQOT5PR30W;9ZWB4_ZKZOTH_L205AN;3169
283;8X7ZXLHCQ5;MYBRGJ_X3UYP;3646
284;PP71K5ENMY;ZCJH_YJ5;3928
285;AMMAM6IN8X;MYBRGJ_X3UYP;3065
286;V6WYEETUQ6;9ZWB4_ZKZOTH_L205AN;1955
287;UR6LIDBTPK;358Y_H8JB_QSDG;1035
288;6Q9W9AI7UC;MYBRGJ_X3UYP;1463
289;KJZ8VFMFM2;7RM2_2XX377_6JI;1949
290;MKNDTBQ0EP;0XXE_RHN;246
291;US8DVTZHYV;9ZWB4_ZKZOTH_L205AN;4543
292;RWOA01GYWS;7RM2_2XX377_6JI;2351
293;V0GA3N95YR;MYBRGJ_X3UYP;1983
294;Z0I41KOWWA;358Y_H8JB_QSDG;495
295;ME1E8ZNSH2;0XXE_RHN;2356
296;BGTLADUVCC;ZCJH_YJ5;376
297;8GMP6Y44GC;XVYX_MB_EW3FWK;2503
298;C3L7D0MYP1;0XXE_RHN;119
299;4Z5OY2UAMK;ZCJH_YJ5;470
300;SKB3OPFQFE;MYBRGJ_X3UYP;17
301;ZYRLQM83AE;XVYX_MB_EW3FWK;1148
302;JA6IVL3XRR;7RM2_2XX377_6JI;262
303;94AHOJKU3J;MYBRGJ_X3UYP;1480
304;VU0A5RRI4I;XVYX_MB_EW3FWK;4675
305;8VRMW4KANW;0XXE_RHN;1367
306;VRKWPX6QTC;9ZWB4_ZKZOTH_L205AN;2726
307;B9KWF0FQIE;7RM2_2XX377_6JI;259
308;FA20SPXOAX;9ZWB4_ZKZOTH_L205AN;898
309;O1Y3W4PF4V;9ZWB4_ZKZOTH_L205AN;774
310;J484YJWK7V;358Y_H8JB_QSDG;4816
311;DCII7BBWKC;UC1X4_AKRI3_INQ3Y2;582
312;YMC6TK51D4;9ZWB4_ZKZOTH_L205AN;2454
313;DTT5PAK2KB;QYE547_8J4_5QXMDY;2042
314;F70VPBDEX1;UC1X4_AKRI3_INQ3Y2;4495
315;RDMMS7LFGZ;7RM2_2XX377_6JI;4716
316;N90O53QYRP;XVYX_MB_EW3FWK;164
317;V6O7VBJBHJ;UC1X4_AKRI3_INQ3Y2;4042
318;EE4ZAZ0NYZ;358Y_H8JB_QSDG;3170
319;U09LB9A7D9;358Y_H8JB_QSDG;2867
320;VE3Z4FZF0R;XVYX_MB_EW3FWK;4578
321;RSPXWUQJRB;ZCJH_YJ5;2153
322;DQXOF9TVVI;MYBRGJ_X3UYP;548
323;P87ZCZ32RO;7RM2_2XX377_6JI;3881
324;AYCWNEJJX1;GJHXPQ_JT_Q128;3747
325;51MZWQZ8DO;7RM2_2XX377_6JI;1574
326;8PUTK855YU;GJHXPQ_JT_Q128;2241
327;0SIAMOJC93;GJHXPQ_JT_Q128;4107
328;M4J4VAMW13;ZCJH_YJ5;3137
329;LM7KT3MJK4;0XXE_RHN;4824
330;P9FRKIXVX8;GJHXPQ_JT_Q128;4252
331;EHGKH4QBFQ;7RM2_2XX377_6JI;3605
332;VIMAFTTSZR;XVYX_MB_EW3FWK;1027
333;2H4SOQAZR4;UC1X4_AKRI3_INQ3Y2;4932
334;XP24G6IPYW;UC1X4_AKRI3_INQ3Y2;3930
335;R5EP0TMGO1;7RM2_2XX377_6JI;82
336;F7LGI8YKCY;UC1X4_AKRI3_INQ3Y2;1424
337;OLAG865UZL;358Y_H8JB_QSDG;1653
338;XE5IRAKGRR;QYE547_8J4_5QXMDY;1102
339;AYC5DGMS51;MYBRGJ_X3UYP;3674
340;YICSDW2ADY;358Y_H8JB_QSDG;1165
341;IS4HK46KRV;MYBRGJ_X3UYP;3206
342;GULZFQUHS5;XVYX_MB_EW3FWK;3560
343;IQHO7T9LEA;358Y_H8JB_QSDG;4707
344;DW5IOZEH8M;XVYX_MB_EW3FWK;3651
345;R7FO9FGKXP;7RM2_2XX377_6JI;218
346;H8VEJ0IWEY;UC1X4_AKRI3_INQ3Y2;3865
347;G491KYSIOP;XVYX_MB_EW3FWK;459
348;71NMY2271I;7RM2_2XX377_6JI;3965
349;K7O7RBGV68;GJHXPQ_JT_Q128;408
350;LJOWWTRHW6;MYBRGJ_X3UYP;1460
351;IIVDUUB4W7;MYBRGJ_X3UYP;3279
352;HDTFO7RYI7;ZCJH_YJ5;4553
353;EUPZ1JI539;QYE547_8J4_5QXMDY;3493
354;Q55BNTYLTN;ZCJH_YJ5;881
355;3UMWD9CFPD;XVYX_MB_EW3FWK;4503
356;KLUJJIOFKB;GJHXPQ_JT_Q128;303
357;CA7JA88O9H;358Y_H8JB_QSDG;4266
358;0E0KA0PRBZ;GJHXPQ_JT_Q128;4693
359;NF4RBK3WC1;UC1X4_AKRI3_INQ3Y2;3142
360;AD1I1XSOTQ;7RM2_2XX377_6JI;1362
361;SSV4L4SNY0;ZCJH_YJ5;2651
362;MJ5IVK017I;MYBRGJ_X3UYP;4485
363;4TTYXZX8BF;XVYX_MB_EW3FWK;885
364;A6HWF9ZJCT;QYE547_8J4_5QXMDY;399
365;W4LJ1IUPIN;358Y_H8JB_QSDG;1441
366;A7U52JTPQ0;MYBRGJ_X3UYP;77
367;VXB899Q66G;UC1X4_AKRI3_INQ3Y2;2315
368;GYJ1CNBYNU;ZCJH_YJ5;3428
369;2Y5FYB8U6T;7RM2_2XX377_6JI;3871
370;6VW0888CM6;GJHXPQ_JT_Q128;3835
371;IKZIZ2TX1Q;9ZWB4_ZKZOTH_L205AN;113
372;EDUUJ3A14C;QYE547_8J4_5QXMDY;3833
373;4AHF1W5AD8;7RM2_2XX377_6JI;4317
374;MK1XY2GCGG;9ZWB4_ZKZOTH_L205AN;3350
375;MZ1LGTOVSI;9ZWB4_ZKZOTH_L205AN;2059
376;Y4OETFUV7E;GJHXPQ_JT_Q128;2332
377;Q3R7OVT33R;9ZWB4_ZKZOTH_L205AN;3041
378;0GM8ZUBGFC;7RM2_2XX377_6JI;3230
379;7XG5G5FEJ9;358Y_H8JB_QSDG;4332
380;XG8538GRET;MYBRGJ_X3UYP;1394
381;EINM48IRPG;9ZWB4_ZKZOTH_L205AN;410
382;DQ9Q1X2M82;XVYX_MB_EW3FWK;455
383;0U2OW0N6M2;7RM2_2XX377_6JI;4577
384;B7QB0G59VO;0XXE_RHN;3359
385;3F15XHJDZQ;358Y_H8JB_QSDG;515
386;DWNC0LNW4B;0XXE_RHN;224
387;88MUQ2T912;XVYX_MB_EW3FWK;611
388;14XOMCGXF8;358Y_H8JB_QSDG;2606
389;E7WNNWAECI;MYBRGJ_X3UYP;2362
390;NPN0Q7J7P6;UC1X4_AKRI3_INQ3Y2;2085
391;0H642L1K3Y;7RM2_2XX377_6JI;2892
392;DMD8CKKY5R;7RM2_2XX377_6JI;2419
393;G6VRCH3ZB1;GJHXPQ_JT_Q128;3953
394;1C5R16QDZN;XVYX_MB_EW3FWK;2789
395;MF1GKU5JBL;UC1X4_AKRI3_INQ3Y2;3941
396;MEH1PC3TT3;0XXE_RHN;4475
397;INKV2QXHVD;ZCJH_YJ5;22
398;60VW9QV1OF;0XXE_RHN;1946
399;42XIIFJUQ8;GJHXPQ_JT_Q128;1061
400;3KFD7AQ51P;GJHXPQ_JT_Q128;2949
401;Z1OSGXVEIF;0XXE_RHN;537
402;FIASHZH1HW;7RM2_2XX377_6JI;3077
403;8BLG8TTDQX;MYBRGJ_X3UYP;2044
404;ZES98TO12L;9ZWB4_ZKZOTH_L205AN;4504
405;XYO2WYC0BI;9ZWB4_ZKZOTH_L205AN;3508
406;J67RQDBCYL;MYBRGJ_X3UYP;3737
407;BXMT2B6GXE;9ZWB4_ZKZOTH_L205AN;2091
408;LO0NH072YP;9ZWB4_ZKZOTH_L205AN;3468
409;AW9BI6L5VB;9ZWB4_ZKZOTH_L205AN;4183
410;JXWZPBTPU8;0XXE_RHN;345
411;MKVAXL3VMA;XVYX_MB_EW3FWK;4353
412;0EHQZLUQ7Q;358Y_H8JB_QSDG;1520
413;F65H130LRT;MYBRGJ_X3UYP;43
414;Y0L1MCWF4I;9ZWB4_ZKZOTH_L205AN;2358
415;ZVH9AWHF47;MYBRGJ_X3UYP;2519
416;D3AJ17Y2QQ;358Y_H8JB_QSDG;4911
417;SSLFK8MHOA;MYBRGJ_X3UYP;4752
418;FDMAAFHX19;9ZWB4_ZKZOTH_L205AN;541
419;7NZ1WRQYRP;9ZWB4_ZKZOTH_L205AN;1778
420;SZ5N5EVB02;UC1X4_AKRI3_INQ3Y2;3744
421;V3S4NQZJSK;MYBRGJ_X3UYP;1279
422;86HVT1DMTM;7RM2_2XX377_6JI;4835
423;HYD0VCSLWV;QYE547_8J4_5QXMDY;1596
424;CADKJED869;ZCJH_YJ5;3472
425;V90EPFUXTI;7RM2_2XX377_6JI;4687
426;XAMDXQHMBD;0XXE_RHN;4463
427;KNT85Q7HF6;358Y_H8JB_QSDG;2412
428;OIILJ30VSE;9ZWB4_ZKZOTH_L205AN;1688
429;UKIVV5RI0N;ZCJH_YJ5;2038
430;P7Y1GIJF8K;ZCJH_YJ5;2670
431;Q5BG1H97C7;XVYX_MB_EW3FWK;1893
432;ASQSCCRMQY;UC1X4_AKRI3_INQ3Y2;2262
433;XUTEBJ95TJ;9ZWB4_ZKZOTH_L205AN;893
434;ICVLC1P2TK;ZCJH_YJ5;1186
435;198GX8TRXF;GJHXPQ_JT_Q128;3862
436;YWRCNN7ZYJ;ZCJH_YJ5;4368
437;1XVNTHHYAG;7RM2_2XX377_6JI;3130
438;BY9NWWJG76;QYE547_8J4_5QXMDY;710
439;J57BNVBWCO;GJHXPQ_JT_Q128;4056
440;96FJAW6RJF;7RM2_2XX377_6JI;1333
441;ZK8PH7FYH5;QYE547_8J4_5QXMDY;494
442;S76KRQN5IC;358Y_H8JB_QSDG;2420
443;9SESABRQZY;MYBRGJ_X3UYP;4880
444;GY2D4DBHVA;7RM2_2XX377_6JI;3862
445;VW24IP8XDZ;XVYX_MB_EW3FWK;3416
446;QOJAB1J2GI;0XXE_RHN;1059
447;DJOASY1MJ6;ZCJH_YJ5;1522
448;ADJ4K027U1;358Y_H8JB_QSDG;4749
449;AXWJPVTFIN;358Y_H8JB_QSDG;4009
450;ROEGX0M5VE;0XXE_RHN;3295
451;BWVESKNXGZ;UC1X4_AKRI3_INQ3Y2;4714
452;4682SB4K7B;MYBRGJ_X3UYP;2804
453;QBFJGTZZEF;MYBRGJ_X3UYP;4291
454;G33O5YFWHP;XVYX_MB_EW3FWK;3165
455;FAS4DB5JLN;UC1X4_AKRI3_INQ3Y2;1181
456;A95BXEI11S;QYE547_8J4_5QXMDY;1457
457;7K1U7JC6DW;7RM2_2XX377_6JI;239
458;HQDWTRLH7S;MYBRGJ_X3UYP;4477
